dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,threshold_mode,threshold,env_thresholds,validation_strategy,validation_group_col,validation_groups,validation_removed_group_rows,validation_min_f1,validation_mean_f1,fit_rows,validation_rows,train_rows
gotham,time,all,lgbm_full__val_robust_minimax,lgbm_full,lightgbm,full,val_robust_minimax,single_validation_minimax,0.0296,{},random,,,0,0.9857231979704559,0.9959575236679361,2687225,895742,3582967
gotham,time,all,lgbm_full__oracle_env_upper_bound,lgbm_full,lightgbm,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.4412, ""high_background"": 0.99, ""low_sampling"": 0.9703999999999999, ""observed"": 0.99}",random,,,0,0.9047035241164485,0.9116986910549644,2687225,895742,3582967
gotham,time,all,cat_full,cat_full,catboost,full,native_default,native,,{},random,,,0,,,2687225,895742,3582967
gotham,time,all,cat_full__val_observed_f1,cat_full,catboost,full,val_observed_f1,single_validation_observed,0.8234,{},random,,,0,0.9999959085980812,0.9999959085980812,2687225,895742,3582967
gotham,time,all,cat_full__val_robust_minimax,cat_full,catboost,full,val_robust_minimax,single_validation_minimax,0.0688,{},random,,,0,0.999503820852065,0.999775286923674,2687225,895742,3582967
gotham,time,all,cat_full__oracle_env_upper_bound,cat_full,catboost,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.1374, ""delayed_collector"": 0.9606, ""high_background"": 0.08839999999999999, ""low_sampling"": 0.6862, ""observed"": 0.9802}",random,,,0,0.9217070313126936,0.9806687995125548,2687225,895742,3582967
gotham,time,all,iforest_env_sensitive,iforest_env_sensitive,sklearn_anomaly,env_sensitive,native_default,native,,{},random,,,0,,,2687225,895742,3582967
gotham,time,all,iforest_env_sensitive__val_observed_f1,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_observed_f1,single_validation_observed,0.598,{},random,,,0,0.9893990444514262,0.9893990444514262,2687225,895742,3582967
gotham,time,all,iforest_env_sensitive__val_robust_minimax,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_robust_minimax,single_validation_minimax,0.3628,{},random,,,0,0.9605854285523739,0.9658355279344356,2687225,895742,3582967
gotham,time,all,iforest_env_sensitive__oracle_env_upper_bound,iforest_env_sensitive,sklearn_anomaly,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.1276, ""delayed_collector"": 0.3138, ""high_background"": 0.3334, ""low_sampling"": 0.01, ""observed"": 0.2256}",random,,,0,0.8985865335046764,0.9391111915471146,2687225,895742,3582967
