dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,threshold_mode,threshold,env_thresholds,validation_strategy,validation_group_col,validation_groups,validation_removed_group_rows,validation_min_f1,validation_mean_f1,fit_rows,validation_rows,train_rows
uwf,time,within_family_chronological,xgb_full,xgb_full,xgboost,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,365,,,61587,730,62317
uwf,time,within_family_chronological,xgb_full__val_observed_f1,xgb_full,xgboost,full,val_observed_f1,single_validation_observed,0.9802,{},attack_family_challenge,attack_family,Initial Access,365,0.9986320109439124,0.9986320109439124,61587,730,62317
uwf,time,within_family_chronological,xgb_full__val_robust_minimax,xgb_full,xgboost,full,val_robust_minimax,single_validation_minimax,0.5294,{},attack_family_challenge,attack_family,Initial Access,365,0.9972677595628415,0.9972677595628415,61587,730,62317
uwf,time,within_family_chronological,xgb_full__oracle_env_upper_bound,xgb_full,xgboost,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.9214, ""delayed_collector"": 0.4314, ""high_background"": 0.9802, ""low_sampling"": 0.5, ""observed"": 0.4314}",attack_family_challenge,attack_family,Initial Access,365,0.9979165426513483,0.9985240425883524,61587,730,62317
uwf,time,within_family_chronological,lgbm_full,lgbm_full,lightgbm,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,365,,,61587,730,62317
uwf,time,within_family_chronological,lgbm_full__val_observed_f1,lgbm_full,lightgbm,full,val_observed_f1,single_validation_observed,0.01,{},attack_family_challenge,attack_family,Initial Access,365,0.9972677595628415,0.9972677595628415,61587,730,62317
uwf,time,within_family_chronological,lgbm_full__val_robust_minimax,lgbm_full,lightgbm,full,val_robust_minimax,single_validation_minimax,0.1472,{},attack_family_challenge,attack_family,Initial Access,365,0.9878213802435724,0.9948350135302887,61587,730,62317
uwf,time,within_family_chronological,lgbm_full__oracle_env_upper_bound,lgbm_full,lightgbm,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.99, ""delayed_collector"": 0.598, ""high_background"": 0.99, ""low_sampling"": 0.4216, ""observed"": 0.598}",attack_family_challenge,attack_family,Initial Access,365,0.9954020942718994,0.9974263835943166,61587,730,62317
uwf,time,within_family_chronological,cat_full,cat_full,catboost,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,365,,,61587,730,62317
uwf,time,within_family_chronological,cat_full__val_observed_f1,cat_full,catboost,full,val_observed_f1,single_validation_observed,0.8724,{},attack_family_challenge,attack_family,Initial Access,365,0.9986320109439124,0.9986320109439124,61587,730,62317
uwf,time,within_family_chronological,cat_full__val_robust_minimax,cat_full,catboost,full,val_robust_minimax,single_validation_minimax,0.6274,{},attack_family_challenge,attack_family,Initial Access,365,0.9972677595628415,0.9980863103914841,61587,730,62317
uwf,time,within_family_chronological,cat_full__oracle_env_upper_bound,cat_full,catboost,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.9312, ""delayed_collector"": 0.2844, ""high_background"": 0.9312, ""low_sampling"": 0.4804, ""observed"": 0.2844}",attack_family_challenge,attack_family,Initial Access,365,0.9976484595922013,0.9983394622360937,61587,730,62317
uwf,time,within_family_chronological,iforest_env_sensitive,iforest_env_sensitive,sklearn_anomaly,env_sensitive,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,365,,,61587,730,62317
uwf,time,within_family_chronological,iforest_env_sensitive__val_observed_f1,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_observed_f1,single_validation_observed,0.4608,{},attack_family_challenge,attack_family,Initial Access,365,0.9252217997465145,0.9252217997465145,61587,730,62317
uwf,time,within_family_chronological,iforest_env_sensitive__val_robust_minimax,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_robust_minimax,single_validation_minimax,0.2844,{},attack_family_challenge,attack_family,Initial Access,365,0.7249255213505462,0.7730560615298125,61587,730,62317
uwf,time,within_family_chronological,iforest_env_sensitive__oracle_env_upper_bound,iforest_env_sensitive,sklearn_anomaly,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.7646, ""delayed_collector"": 0.598, ""high_background"": 0.7352, ""low_sampling"": 0.4706, ""observed"": 0.5882}",attack_family_challenge,attack_family,Initial Access,365,0.9437000652842976,0.9491389696838277,61587,730,62317
uwf,time,within_family_chronological,pyod_ecod_env_sensitive,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,365,,,61587,730,62317
uwf,time,within_family_chronological,pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_observed_f1,single_validation_observed,0.1374,{},attack_family_challenge,attack_family,Initial Access,365,0.874251497005988,0.874251497005988,61587,730,62317
uwf,time,within_family_chronological,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_robust_minimax,single_validation_minimax,0.08839999999999999,{},attack_family_challenge,attack_family,Initial Access,365,0.6809701492537313,0.7288926863365522,61587,730,62317
