dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,environment_id,train_rows,test_rows,train_positive_rate,test_positive_rate,fit_seconds,eval_seconds,semantic_preservation_score,accuracy,precision,recall,f1,auc,alert_budget_inflation,causal_fragility_score,environment_leakage_score,score_environment_leakage_score
uwf,heldout_family,defense_evasion,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,congested_link,95219,652,0.5003098121173295,0.5,35.18697724863887,0.0001711323857307434,1.0,0.8895705521472392,1.0,0.7791411042944786,0.8758620689655172,0.9998776769919832,0.7791411042944786,0.6572584600809642,0.127967425869065,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,high_background,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00013826042413711548,1.0,0.8941717791411042,0.9849056603773585,0.8006134969325154,0.883248730964467,0.9945613308743272,0.8128834355828221,0.6572584600809642,0.127967425869065,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,delayed_collector,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00013754144310951233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572584600809642,0.127967425869065,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__oracle_env_upper_bound,rf_full,sklearn_tree,full,oracle_env_upper_bound,observed,95219,652,0.5003098121173295,0.5,35.18697724863887,0.0003627687692642212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572584600809642,0.004912939873668707,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__oracle_env_upper_bound,rf_full,sklearn_tree,full,oracle_env_upper_bound,low_sampling,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00020857155323028564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572584600809642,0.004912939873668707,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__oracle_env_upper_bound,rf_full,sklearn_tree,full,oracle_env_upper_bound,congested_link,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00021969527006149292,1.0,0.9984662576687117,0.9969418960244648,1.0,0.998468606431853,0.9998776769919832,1.0030674846625767,0.6572584600809642,0.004912939873668707,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__oracle_env_upper_bound,rf_full,sklearn_tree,full,oracle_env_upper_bound,high_background,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00019496306777000427,1.0,0.9831288343558282,0.9673590504451038,1.0,0.9834087481146304,0.9945613308743272,1.0337423312883436,0.6572584600809642,0.004912939873668707,0.6252153105201355
uwf,heldout_family,defense_evasion,rf_full__oracle_env_upper_bound,rf_full,sklearn_tree,full,oracle_env_upper_bound,delayed_collector,95219,652,0.5003098121173295,0.5,35.18697724863887,0.00016340240836143494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572584600809642,0.004912939873668707,0.6252153105201355
uwf,heldout_family,defense_evasion,gb_full,gb_full,sklearn_boosting,full,native_default,observed,95219,652,0.5003098121173295,0.5,178.88383450731635,0.000286053866147995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full,gb_full,sklearn_boosting,full,native_default,low_sampling,95219,652,0.5003098121173295,0.5,178.88383450731635,0.0002532005310058594,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full,gb_full,sklearn_boosting,full,native_default,congested_link,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00020381063222885132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full,gb_full,sklearn_boosting,full,native_default,high_background,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00021307170391082764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full,gb_full,sklearn_boosting,full,native_default,delayed_collector,95219,652,0.5003098121173295,0.5,178.88383450731635,0.0002067089080810547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__val_observed_f1,gb_full,sklearn_boosting,full,val_observed_f1,observed,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00022748857736587524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__val_observed_f1,gb_full,sklearn_boosting,full,val_observed_f1,low_sampling,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00014403462409973145,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__val_observed_f1,gb_full,sklearn_boosting,full,val_observed_f1,congested_link,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00013352185487747192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__val_observed_f1,gb_full,sklearn_boosting,full,val_observed_f1,high_background,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00013727322220802307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__val_observed_f1,gb_full,sklearn_boosting,full,val_observed_f1,delayed_collector,95219,652,0.5003098121173295,0.5,178.88383450731635,0.0001312047243118286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__val_robust_minimax,gb_full,sklearn_boosting,full,val_robust_minimax,observed,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00015107542276382446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.014129086223263088,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__val_robust_minimax,gb_full,sklearn_boosting,full,val_robust_minimax,low_sampling,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00013026967644691467,1.0,0.9570552147239264,1.0,0.9141104294478528,0.9551282051282052,0.9999999999999999,0.9141104294478528,0.41282716851436435,0.014129086223263088,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__val_robust_minimax,gb_full,sklearn_boosting,full,val_robust_minimax,congested_link,95219,652,0.5003098121173295,0.5,178.88383450731635,0.0001515597105026245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.014129086223263088,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__val_robust_minimax,gb_full,sklearn_boosting,full,val_robust_minimax,high_background,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00014578551054000854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.014129086223263088,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__val_robust_minimax,gb_full,sklearn_boosting,full,val_robust_minimax,delayed_collector,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00013122335076332092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.014129086223263088,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__oracle_env_upper_bound,gb_full,sklearn_boosting,full,oracle_env_upper_bound,observed,95219,652,0.5003098121173295,0.5,178.88383450731635,0.0003019683063030243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__oracle_env_upper_bound,gb_full,sklearn_boosting,full,oracle_env_upper_bound,low_sampling,95219,652,0.5003098121173295,0.5,178.88383450731635,0.0001884177327156067,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__oracle_env_upper_bound,gb_full,sklearn_boosting,full,oracle_env_upper_bound,congested_link,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00017182156443595886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__oracle_env_upper_bound,gb_full,sklearn_boosting,full,oracle_env_upper_bound,high_background,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00016931816935539246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,gb_full__oracle_env_upper_bound,gb_full,sklearn_boosting,full,oracle_env_upper_bound,delayed_collector,95219,652,0.5003098121173295,0.5,178.88383450731635,0.00017260387539863586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41282716851436435,0.0,0.5082760435198921
uwf,heldout_family,defense_evasion,xgb_full,xgb_full,xgboost,full,native_default,observed,95219,652,0.5003098121173295,0.5,44.90781884267926,0.00032712891697883606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37182329382061596,0.0009888944425645958,0.34093530926091214
uwf,heldout_family,defense_evasion,xgb_full,xgb_full,xgboost,full,native_default,low_sampling,95219,652,0.5003098121173295,0.5,44.90781884267926,0.00020490586757659912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37182329382061596,0.0009888944425645958,0.34093530926091214
uwf,heldout_family,defense_evasion,xgb_full,xgb_full,xgboost,full,native_default,congested_link,95219,652,0.5003098121173295,0.5,44.90781884267926,0.0002063661813735962,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.37182329382061596,0.0009888944425645958,0.34093530926091214
uwf,heldout_family,defense_evasion,xgb_full,xgb_full,xgboost,full,native_default,high_background,95219,652,0.5003098121173295,0.5,44.90781884267926,0.00021499022841453552,1.0,0.9969325153374233,0.9939024390243902,1.0,0.9969418960244648,1.0,1.0061349693251533,0.37182329382061596,0.0009888944425645958,0.34093530926091214
uwf,heldout_family,defense_evasion,xgb_full,xgb_full,xgboost,full,native_default,delayed_collector,95219,652,0.5003098121173295,0.5,44.90781884267926,0.00021857395768165588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37182329382061596,0.0009888944425645958,0.34093530926091214
