dataset,split,fold,detector,detector_family,feature_profile,observed_f1,worst_intervention_f1,worst_hidden_drop
uwf,heldout_family,persistence,cat_full,catboost,full,1.0,0.998468606431853,0.0015313935681470214
uwf,heldout_family,privilege_escalation,gb_full__oracle_env_upper_bound,sklearn_boosting,full,1.0,0.998468606431853,0.0015313935681470214
uwf,heldout_family,privilege_escalation,xgb_full__oracle_env_upper_bound,xgboost,full,1.0,0.998468606431853,0.0015313935681470214
uwf,heldout_family,privilege_escalation,cat_full__oracle_env_upper_bound,catboost,full,1.0,0.998468606431853,0.0015313935681470214
uwf,random,all,cat_full__val_robust_minimax,catboost,full,0.9989883963106219,0.9975557410277811,0.0014326552828407557
uwf,source_ip,within_family_source_ip,xgb_full__val_observed_f1,xgboost,full,0.9757807837676546,0.9744036651561178,0.0013771186115368872
uwf,heldout_family,reconnaissance,iforest_env_sensitive__val_robust_minimax,sklearn_anomaly,env_sensitive,0.0027164685908319186,0.0013726835964310226,0.001343784994400896
uwf,time,within_family_chronological,cat_full__oracle_env_upper_bound,catboost,full,0.9988694513864096,0.9976484595922013,0.0012209917942083148
uwf,heldout_family,reconnaissance,xgb_full__val_observed_f1,xgboost,full,0.13585389298301825,0.1346585444052581,0.001195348577760158
uwf,heldout_family,reconnaissance,xgb_full__oracle_env_upper_bound,xgboost,full,0.13585389298301825,0.1346585444052581,0.001195348577760158
uwf,time,within_family_chronological,xgb_full__oracle_env_upper_bound,xgboost,full,0.9988694513864096,0.9979165426513483,0.0009529087350612642
uwf,random,all,cat_full__oracle_env_upper_bound,catboost,full,0.9990179448263548,0.9981255020976524,0.0008924427287023695
uwf,random,all,gb_full__oracle_env_upper_bound,sklearn_boosting,full,0.9986021473396187,0.9977374218517416,0.0008647254878770827
uwf,random,all,xgb_full__oracle_env_upper_bound,xgboost,full,0.9989880350020834,0.998124832574337,0.0008632024277464012
uwf,source_ip,within_family_source_ip,gb_full__val_observed_f1,sklearn_boosting,full,0.9754581395927095,0.9746167628907028,0.0008413767020067908
uwf,source_ip,within_family_source_ip,gb_full__val_robust_minimax,sklearn_boosting,full,0.9754581395927095,0.9746167628907028,0.0008413767020067908
uwf,source_ip,within_family_source_ip,cat_full,catboost,full,0.9796120593554141,0.9789533701876596,0.0006586891677544671
uwf,heldout_family,credential_access,xgb_full__oracle_env_upper_bound,xgboost,full,0.9999425241111354,0.9993215817493992,0.0006209423617361542
uwf,source_ip,within_family_source_ip,lgbm_full__val_observed_f1,lightgbm,full,0.9948770491803278,0.9943373199902368,0.0005397291900910428
uwf,source_ip,within_family_source_ip,lgbm_full__oracle_env_upper_bound,lightgbm,full,0.9948770491803278,0.9943373199902368,0.0005397291900910428
uwf,source_ip,within_family_source_ip,gb_full,sklearn_boosting,full,0.9759928425866097,0.9754581395927095,0.0005347029939001269
uwf,time,within_family_chronological,gb_full__oracle_env_upper_bound,sklearn_boosting,full,0.9988694513864096,0.9983937176512583,0.0004757337351513069
uwf,source_ip,within_family_source_ip,xgb_full__oracle_env_upper_bound,xgboost,full,0.9964466510903427,0.9959845221581368,0.00046212893220587414
uwf,heldout_family,credential_access,rf_full__oracle_env_upper_bound,sklearn_tree,full,0.999482954741305,0.9992762863149188,0.00020666842638616956
uwf,heldout_family,credential_access,cat_full__val_robust_minimax,catboost,full,0.9995174077904171,0.999333685637479,0.0001837221529380484
uwf,heldout_family,credential_access,cat_full__oracle_env_upper_bound,catboost,full,0.9997011975084469,0.9996322599921855,6.893751626135813e-05
uwf,heldout_family,defense_evasion,gb_full,sklearn_boosting,full,1.0,1.0,0.0
uwf,heldout_family,defense_evasion,gb_full__val_observed_f1,sklearn_boosting,full,1.0,1.0,0.0
uwf,heldout_family,defense_evasion,gb_full__oracle_env_upper_bound,sklearn_boosting,full,1.0,1.0,0.0
uwf,heldout_family,defense_evasion,xgb_full__oracle_env_upper_bound,xgboost,full,1.0,1.0,0.0
uwf,heldout_family,defense_evasion,cat_full__oracle_env_upper_bound,catboost,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,lr_full__oracle_env_upper_bound,sklearn_linear,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,rf_full,sklearn_tree,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,rf_full__val_robust_minimax,sklearn_tree,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,rf_full__oracle_env_upper_bound,sklearn_tree,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,gb_full,sklearn_boosting,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,gb_full__val_observed_f1,sklearn_boosting,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,gb_full__val_robust_minimax,sklearn_boosting,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,gb_full__oracle_env_upper_bound,sklearn_boosting,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,xgb_full,xgboost,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,xgb_full__val_robust_minimax,xgboost,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,xgb_full__oracle_env_upper_bound,xgboost,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,lgbm_full__val_robust_minimax,lightgbm,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,lgbm_full__oracle_env_upper_bound,lightgbm,full,1.0,1.0,0.0
uwf,heldout_family,exfiltration,cat_full,catboost,full,1.0,1.0,0.0
